uid,src,title,alt,lieu,lat,lng,categorie,visible
"bio-0","/images/biodiversite-calanques-marseille-1.webp","Murène en embuscade — Calanque de Podestat","Murène commune émergeant d'une anfractuosité rocheuse dans le coralligène de la Calanque de Podestat, biodiversité marine du Parc National des Calanques — © Karim Saari","Calanque de podestat","43.209919","5.382705","biodiversite","true"
"bio-1","/images/biodiversite-calanques-marseille-2.webp","Poulpe en mode camouflage — Les Calanques","Poulpe en mode camouflage utilisant son mimétisme sur un fond rocheux et sa flore marine dans les Calanques, biodiversité marine — © Karim Saari","Parc national des calanques","43.206352","5.379297","biodiversite","true"
"bio-2","/images/biodiversite-calanques-marseille-3.webp","Poulpe en mode camouflage — Parc national des Calanques","Poulpe en mode camouflage dans le Parc national des Calanques, biodiversité marine — © Karim Saari","Parc national des calanques","43.210302","5.345471","biodiversite","true"
"bio-3","/images/posidonie-calanque-sormiou-marseille.webp","Posidonie calanque sormiou marseille","Herbier de Posidonie (Posidonia oceanica) s'épanouissant dans les eaux claires de la Calanque de Sormiou, écosystème vital et puits de carbone de la Méditerranée — © Karim Saari","Marseille, calanque de sormiou","43.208862","5.423911","biodiversite","true"
"carac-10","/images/marseille-dark-massilia-caracterisation-dechets-carac-10.webp","Analyse de la collecte — Sentinelle 4","Deux apnéistes de la TEAM OXYGEN présentent un filet de collecte rempli de détritus et un textile gorgé de sédiments sur le sable, lors de l'étape de caractérisation des déchets après une opération de dépollution en Méditerranée, sous l'œil d'une équipe de tournage — Marseille — © Karim Saari","Marseille, les catalans","43.290467","5.355239","caracterisation","true"
"carac-11","/images/caracterisation-dark-massilia-karimsaari-asso-merveille-pneus-3.webp","GROSSE opération avec Merveille - Extraction de pneus — L'Huveaune, Marseille","Opération de dépollution — Embouchure de l'Huveaune, Marseille","Marseille","43.259984","5.375171","caracterisation","true"
"carac-12","/images/caracterisation-dark-massilia-karimsaari-asso-merveille-pneus.webp","Extraction de pneus avec association MERVEILLE — L'Huveaune, Marseille","Plongeur de la Team Oxygen extrayant un pneu usagé des eaux de l'Huveaune, action de dépollution contre la pollution plastique et urbaine à Marseille, catégorie Dépollution — © Karim Saari","Marseille","43.259984","5.375171","caracterisation","true"
"carac-13","/images/caracterisation-dark-massilia-karimsaari-projet-sentinelle-4.webp","Dépollution à Corbière avec assistance kayak — Plage de la Corbière, Marseille","Kayakiste participant à une opération de dépollution en ramassant des déchets flottants dans l'anse de la plage de la Corbière, mettant en valeur l'engagement écocitoyen à Marseille","Marseille - Corbière","43.357624","5.293662","caracterisation","true"
"carac-14","/images/caracterisation-dark-massilia-karimsaari-projet-sentinelle-6.webp","Opération de nettoyage à l'ESTAQUE","Plongeur de la Team Oxygen et bénévoles manipulant des déchets marins collectés lors d'une opération de dépollution — L'Estaque — Dépollution/Oxygen — © Karim Saari","Marseille","43.357702","5.294193","caracterisation","true"
"carac-15","/images/caracterisation-dark-massilia-karimsaari-projet-sentinelle-7.webp","Caracterisation dark massilia karimsaari projet sentinelle 7","Plongeur de la Team Oxygen en apnée extrayant un pneu immergé au-dessus d'un herbier de posidonie lors de l'opération Sentinelle 4 avec l'aide de Merveille— L'Estaque — Dépollution/Oxygen — © Karim Saari","Marseille","43.358201","5.306602","caracterisation","true"
